model,image_name,label,early_late_spearman,strict_promotion_fraction,promotion_flip_spearman,promotion_flip_top_iou
pit_b_224,ILSVRC2012_val_00033149.JPEG,200,-0.28928568959236145,0.12244898080825806,0.8872448801994324,0.4000000059604645
pit_b_224,ILSVRC2012_val_00033150.JPEG,18,0.3753061294555664,0.12244898080825806,0.8101020455360413,0.4000000059604645
pit_b_224,ILSVRC2012_val_00033171.JPEG,796,-0.10775509476661682,0.12244898080825806,0.674795925617218,0.27272728085517883
pit_b_224,ILSVRC2012_val_00033207.JPEG,534,0.3942857086658478,0.08163265138864517,0.6376530528068542,0.1666666716337204
pit_b_224,ILSVRC2012_val_00033255.JPEG,825,-0.1550000160932541,0.08163265138864517,0.8235714435577393,0.27272728085517883
pit_b_224,ILSVRC2012_val_00033340.JPEG,90,-0.45969387888908386,0.08163265138864517,0.9146938323974609,0.75
pit_b_224,ILSVRC2012_val_00033725.JPEG,754,-0.3356122076511383,0.08163265138864517,0.80765300989151,0.1666666716337204
pit_b_224,ILSVRC2012_val_00033897.JPEG,267,-0.2853061258792877,0.16326530277729034,0.7402040958404541,0.4000000059604645
pit_b_224,ILSVRC2012_val_00033960.JPEG,30,-0.08938774466514587,0.06122449040412903,0.8867347240447998,0.75
pit_b_224,ILSVRC2012_val_00033997.JPEG,183,-0.30714285373687744,0.1428571492433548,0.8044898509979248,0.4000000059604645
pit_b_224,ILSVRC2012_val_00034008.JPEG,851,0.22132651507854462,0.040816325694322586,0.8410203456878662,0.4000000059604645
pit_b_224,ILSVRC2012_val_00034055.JPEG,179,0.3689796030521393,0.020408162847161293,0.7663265466690063,0.75
pit_b_224,ILSVRC2012_val_00034168.JPEG,22,0.23877552151679993,0.040816325694322586,0.8624489903450012,0.75
pit_b_224,ILSVRC2012_val_00034182.JPEG,552,-0.24724486470222473,0.12244898080825806,0.9063265919685364,0.75
pit_b_224,ILSVRC2012_val_00034217.JPEG,852,0.0906122475862503,0.06122449040412903,0.8497959971427917,0.4000000059604645
pit_b_224,ILSVRC2012_val_00034225.JPEG,393,0.08204081654548645,0.08163265138864517,0.7479592561721802,0.5555555820465088
pit_b_224,ILSVRC2012_val_00034230.JPEG,375,0.3692857027053833,0.020408162847161293,0.6112245321273804,0.1666666716337204
pit_b_224,ILSVRC2012_val_00034302.JPEG,411,0.2741836607456207,0.040816325694322586,0.8373469114303589,0.27272728085517883
pit_b_224,ILSVRC2012_val_00034356.JPEG,163,0.053877539932727814,0.10204081982374191,0.6674489378929138,0.4000000059604645
pit_b_224,ILSVRC2012_val_00034359.JPEG,715,0.13724491000175476,0.06122449040412903,0.6538775563240051,0.1666666716337204
pit_b_224,ILSVRC2012_val_00034391.JPEG,921,0.07479590177536011,0.08163265138864517,0.7961224317550659,0.5555555820465088
pit_b_224,ILSVRC2012_val_00034406.JPEG,76,0.14030610024929047,0.08163265138864517,0.7704081535339355,0.4000000059604645
pit_b_224,ILSVRC2012_val_00034438.JPEG,353,0.44020408391952515,0.020408162847161293,0.5941836833953857,0.07692307978868484
pit_b_224,ILSVRC2012_val_00034459.JPEG,625,0.36867350339889526,0.10204081982374191,0.6939796209335327,0.1666666716337204
pit_b_224,ILSVRC2012_val_00034548.JPEG,130,0.1084693968296051,0.06122449040412903,0.6590816974639893,0.5555555820465088
visformer_small,ILSVRC2012_val_00031361.JPEG,282,0.5660204291343689,0.040816325694322586,0.883163332939148,0.75
visformer_small,ILSVRC2012_val_00031410.JPEG,589,0.1748979687690735,0.040816325694322586,0.981632649898529,0.5555555820465088
visformer_small,ILSVRC2012_val_00031472.JPEG,317,-0.46479591727256775,0.10204081982374191,0.9377551674842834,0.4000000059604645
visformer_small,ILSVRC2012_val_00031495.JPEG,918,0.03765306621789932,0.06122449040412903,0.9528571367263794,0.75
visformer_small,ILSVRC2012_val_00031548.JPEG,889,0.4328571557998657,0.020408162847161293,0.9435714483261108,0.5555555820465088
visformer_small,ILSVRC2012_val_00031586.JPEG,49,0.3076530694961548,0.020408162847161293,0.8850000500679016,0.75
visformer_small,ILSVRC2012_val_00031588.JPEG,624,-0.2705102264881134,0.08163265138864517,0.9413265585899353,0.75
visformer_small,ILSVRC2012_val_00031593.JPEG,993,0.2573469281196594,0.040816325694322586,0.9417347311973572,0.75
visformer_small,ILSVRC2012_val_00031629.JPEG,719,0.12377549707889557,0.040816325694322586,0.9607143402099609,0.5555555820465088
visformer_small,ILSVRC2012_val_00031647.JPEG,945,0.5304081439971924,0.040816325694322586,0.9640816450119019,0.75
visformer_small,ILSVRC2012_val_00031670.JPEG,461,-0.11030613631010056,0.06122449040412903,0.9624490737915039,0.75
visformer_small,ILSVRC2012_val_00031686.JPEG,290,0.24877551198005676,0.06122449040412903,0.8563265800476074,0.5555555820465088
visformer_small,ILSVRC2012_val_00031762.JPEG,377,0.0657142922282219,0.06122449040412903,0.9616327285766602,0.5555555820465088
visformer_small,ILSVRC2012_val_00031783.JPEG,830,0.24632655084133148,0.10204081982374191,0.9428570866584778,0.5555555820465088
visformer_small,ILSVRC2012_val_00031785.JPEG,212,-0.4038775563240051,0.12244898080825806,0.9725509881973267,1.0
visformer_small,ILSVRC2012_val_00031789.JPEG,665,0.44653061032295227,0.040816325694322586,0.8888776302337646,0.5555555820465088
visformer_small,ILSVRC2012_val_00031922.JPEG,141,0.0802040696144104,0.040816325694322586,0.952551007270813,0.5555555820465088
visformer_small,ILSVRC2012_val_00031927.JPEG,59,0.09469389170408249,0.08163265138864517,0.9697959423065186,1.0
visformer_small,ILSVRC2012_val_00032032.JPEG,978,0.11520408093929291,0.06122449040412903,0.9812244772911072,0.75
visformer_small,ILSVRC2012_val_00032039.JPEG,464,-0.3836734890937805,0.12244898080825806,0.9616326093673706,0.75
