model,layer,global_mode,image_name,label,global_flip_cosine,global_phase_cosine,score_flip_spearman,score_phase_spearman,score_normalized_entropy,score_top_probability_mass,score_std
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027790.JPEG,66,0.9999672770500183,0.9999157786369324,0.7039151191711426,0.4987034797668457,0.9890719652175903,0.25099560618400574,0.02999402955174446
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027793.JPEG,848,0.9998732209205627,0.9999266862869263,0.8954809308052063,0.7203754186630249,0.9747412204742432,0.27892589569091797,0.037043776363134384
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00027955.JPEG,354,0.9999212622642517,0.9999126195907593,0.8724366426467896,0.7354588508605957,0.9872647523880005,0.24160483479499817,0.03206723555922508
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028029.JPEG,930,0.9999154210090637,0.999929666519165,0.805514395236969,0.5022097826004028,0.994019627571106,0.21749480068683624,0.024534231051802635
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028103.JPEG,233,0.999869704246521,0.9999025464057922,0.8560097217559814,0.6319693326950073,0.9906826615333557,0.22624549269676208,0.027645301073789597
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028201.JPEG,844,0.9998777508735657,0.9998811483383179,0.7903274297714233,0.605200469493866,0.9849451780319214,0.24318155646324158,0.030104927718639374
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028333.JPEG,637,0.999941349029541,0.9998704195022583,0.8253584504127502,0.6408577561378479,0.99289470911026,0.22007927298545837,0.026975996792316437
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028359.JPEG,448,0.9999182224273682,0.9998773336410522,0.7889966368675232,0.5714412927627563,0.9941529631614685,0.21441152691841125,0.024532871320843697
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028377.JPEG,653,0.9999443292617798,0.999908447265625,0.7339161038398743,0.5435360670089722,0.9722113609313965,0.29800522327423096,0.0374075323343277
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028502.JPEG,498,0.9997496008872986,0.9998640418052673,0.8897815942764282,0.6928797960281372,0.9888826012611389,0.23277056217193604,0.03356252610683441
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028524.JPEG,17,0.9998788237571716,0.9999185800552368,0.7081322073936462,0.5048331022262573,0.9907932281494141,0.226108580827713,0.02549118362367153
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028528.JPEG,716,0.9998940229415894,0.9998390078544617,0.9360294342041016,0.8255799412727356,0.9801972508430481,0.2696244418621063,0.04562586173415184
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028576.JPEG,596,0.9998753070831299,0.999911367893219,0.8505494594573975,0.598976731300354,0.9911150932312012,0.22797217965126038,0.030533187091350555
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028592.JPEG,551,0.9999004602432251,0.9998963475227356,0.8697048425674438,0.5977814793586731,0.9863755702972412,0.2438625693321228,0.030822357162833214
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028608.JPEG,730,0.9999097585678101,0.9998595118522644,0.8224848508834839,0.5053973197937012,0.9924951791763306,0.2283259928226471,0.02672751620411873
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028696.JPEG,597,0.9999324679374695,0.9999175667762756,0.7190383076667786,0.5851174592971802,0.9954273104667664,0.2099704146385193,0.021230151876807213
