model,image_name,condition,mix_gain,mlp_gain,total_gain
pit_b_224,ILSVRC2012_val_00031762.JPEG,random,0.07572299987077713,-0.2664945721626282,-0.19077157974243164
pit_b_224,ILSVRC2012_val_00031783.JPEG,random,0.10854244977235794,-0.44203513860702515,-0.3334926962852478
pit_b_224,ILSVRC2012_val_00031785.JPEG,promotion,0.07716114073991776,-0.2590118646621704,-0.18185071647167206
pit_b_224,ILSVRC2012_val_00031789.JPEG,promotion,0.03786014765501022,-0.2747378647327423,-0.2368777096271515
pit_b_224,ILSVRC2012_val_00031785.JPEG,stable_high,0.05438535287976265,-0.2799544036388397,-0.22556908428668976
pit_b_224,ILSVRC2012_val_00031789.JPEG,stable_high,0.042510952800512314,-0.25817734003067017,-0.21566639840602875
pit_b_224,ILSVRC2012_val_00031785.JPEG,stable_low,-0.01891438476741314,-0.28135791420936584,-0.30027225613594055
pit_b_224,ILSVRC2012_val_00031789.JPEG,stable_low,0.02172192558646202,-0.29511523246765137,-0.27339330315589905
pit_b_224,ILSVRC2012_val_00031785.JPEG,random,0.00970636960119009,-0.2884516716003418,-0.2787453234195709
pit_b_224,ILSVRC2012_val_00031789.JPEG,random,0.015561128035187721,-0.2853667140007019,-0.26980558037757874
visformer_small,ILSVRC2012_val_00031361.JPEG,promotion,0.04702206328511238,0.03140900656580925,0.07843106985092163
visformer_small,ILSVRC2012_val_00031410.JPEG,promotion,0.07580295950174332,0.015803592279553413,0.09160654991865158
visformer_small,ILSVRC2012_val_00031361.JPEG,stable_high,0.0485786609351635,0.028143730014562607,0.0767223909497261
visformer_small,ILSVRC2012_val_00031410.JPEG,stable_high,0.06516711413860321,0.02027139440178871,0.08543850481510162
visformer_small,ILSVRC2012_val_00031361.JPEG,stable_low,0.04507002606987953,0.011564443819224834,0.05663447454571724
visformer_small,ILSVRC2012_val_00031410.JPEG,stable_low,0.05964728444814682,0.04433700442314148,0.1039842888712883
visformer_small,ILSVRC2012_val_00031361.JPEG,random,0.061328668147325516,0.06494184583425522,0.12627051770687103
visformer_small,ILSVRC2012_val_00031410.JPEG,random,0.04033982381224632,0.016469743102788925,0.05680956691503525
visformer_small,ILSVRC2012_val_00031472.JPEG,promotion,0.04917973279953003,0.029851606115698814,0.07903134077787399
visformer_small,ILSVRC2012_val_00031495.JPEG,promotion,0.0508742518723011,0.020608944818377495,0.07148319482803345
visformer_small,ILSVRC2012_val_00031472.JPEG,stable_high,0.08674825727939606,0.07984916120767593,0.1665974110364914
visformer_small,ILSVRC2012_val_00031495.JPEG,stable_high,0.06196296215057373,0.0260600782930851,0.08802304416894913
visformer_small,ILSVRC2012_val_00031472.JPEG,stable_low,0.05169099196791649,0.05062515661120415,0.10231614857912064
visformer_small,ILSVRC2012_val_00031495.JPEG,stable_low,0.06948788464069366,0.04079444333910942,0.11028233915567398
visformer_small,ILSVRC2012_val_00031472.JPEG,random,0.07115425169467926,0.08085589855909348,0.15201015770435333
visformer_small,ILSVRC2012_val_00031495.JPEG,random,0.04461691901087761,0.015767620876431465,0.060384541749954224
visformer_small,ILSVRC2012_val_00031548.JPEG,promotion,0.05412038788199425,-0.04775924235582352,0.006361144129186869
visformer_small,ILSVRC2012_val_00031586.JPEG,promotion,0.09323520958423615,0.05845563858747482,0.15169085562229156
visformer_small,ILSVRC2012_val_00031548.JPEG,stable_high,0.07765449583530426,-0.02212338335812092,0.05553111806511879
visformer_small,ILSVRC2012_val_00031586.JPEG,stable_high,0.07284313440322876,0.01690894365310669,0.08975207805633545
visformer_small,ILSVRC2012_val_00031548.JPEG,stable_low,0.08042674511671066,0.007242954336106777,0.08766969293355942
visformer_small,ILSVRC2012_val_00031586.JPEG,stable_low,0.10098849982023239,0.07755708694458008,0.17854557931423187
visformer_small,ILSVRC2012_val_00031548.JPEG,random,0.0793074518442154,-0.04538321495056152,0.03392424061894417
visformer_small,ILSVRC2012_val_00031586.JPEG,random,0.06696400791406631,0.018247773870825768,0.08521177619695663
visformer_small,ILSVRC2012_val_00031588.JPEG,promotion,0.08640416711568832,0.010943353176116943,0.09734752029180527
