source_model,condition,sample_index,image_name,raw_source_gradient_cosine,processed_source_gradient_cosine
vit_base_patch16_224,shuffled_minus,15,ILSVRC2012_val_00038597.JPEG,0.021837886422872543,0.022255267947912216
vit_base_patch16_224,permuted_plus,14,ILSVRC2012_val_00038546.JPEG,0.00511351739987731,0.006680089049041271
vit_base_patch16_224,permuted_plus,15,ILSVRC2012_val_00038597.JPEG,0.018530337139964104,0.019039403647184372
vit_base_patch16_224,permuted_minus,14,ILSVRC2012_val_00038546.JPEG,0.006167714949697256,0.00751988310366869
vit_base_patch16_224,permuted_minus,15,ILSVRC2012_val_00038597.JPEG,0.026785200461745262,0.027334140613675117
vit_base_patch16_224,random_plus,14,ILSVRC2012_val_00038546.JPEG,0.006184641271829605,0.00769169582054019
vit_base_patch16_224,random_plus,15,ILSVRC2012_val_00038597.JPEG,0.020020049065351486,0.020577646791934967
vit_base_patch16_224,random_minus,14,ILSVRC2012_val_00038546.JPEG,0.005230438429862261,0.0066567109897732735
vit_base_patch16_224,random_minus,15,ILSVRC2012_val_00038597.JPEG,0.02442542463541031,0.024927785620093346
vit_base_patch16_224,direct_plus,14,ILSVRC2012_val_00038546.JPEG,0.045977041125297546,0.046867430210113525
vit_base_patch16_224,direct_plus,15,ILSVRC2012_val_00038597.JPEG,-0.0038883660454303026,-0.0030323315877467394
vit_base_patch16_224,direct_minus,14,ILSVRC2012_val_00038546.JPEG,-0.03475462272763252,-0.03274938464164734
vit_base_patch16_224,direct_minus,15,ILSVRC2012_val_00038597.JPEG,0.04818488657474518,0.048402339220047
vit_base_patch16_224,uniform,16,ILSVRC2012_val_00038607.JPEG,0.050744131207466125,0.05084672570228577
vit_base_patch16_224,uniform,17,ILSVRC2012_val_00038678.JPEG,-0.0007148873992264271,0.0010931683937087655
vit_base_patch16_224,cov_plus,16,ILSVRC2012_val_00038607.JPEG,0.06092303991317749,0.060581743717193604
vit_base_patch16_224,cov_plus,17,ILSVRC2012_val_00038678.JPEG,0.004585977643728256,0.006311248987913132
vit_base_patch16_224,cov_minus,16,ILSVRC2012_val_00038607.JPEG,0.039434872567653656,0.04003024101257324
vit_base_patch16_224,cov_minus,17,ILSVRC2012_val_00038678.JPEG,-0.005505915731191635,-0.0036462699063122272
vit_base_patch16_224,shuffled_plus,16,ILSVRC2012_val_00038607.JPEG,0.04867309704422951,0.04890494793653488
vit_base_patch16_224,shuffled_plus,17,ILSVRC2012_val_00038678.JPEG,0.00037721521221101284,0.0023527787998318672
vit_base_patch16_224,shuffled_minus,16,ILSVRC2012_val_00038607.JPEG,0.052086204290390015,0.05209122598171234
vit_base_patch16_224,shuffled_minus,17,ILSVRC2012_val_00038678.JPEG,-0.0016346200136467814,1.4495220966637135e-05
vit_base_patch16_224,permuted_plus,16,ILSVRC2012_val_00038607.JPEG,0.04815291240811348,0.048279255628585815
vit_base_patch16_224,permuted_plus,17,ILSVRC2012_val_00038678.JPEG,-0.0004037468461319804,0.0016074794111773372
vit_base_patch16_224,permuted_minus,16,ILSVRC2012_val_00038607.JPEG,0.05323242396116257,0.05332805961370468
vit_base_patch16_224,permuted_minus,17,ILSVRC2012_val_00038678.JPEG,-0.0009726931457407773,0.000648242887109518
vit_base_patch16_224,random_plus,16,ILSVRC2012_val_00038607.JPEG,0.04712939262390137,0.047239821404218674
vit_base_patch16_224,random_plus,17,ILSVRC2012_val_00038678.JPEG,0.003139784559607506,0.004944075830280781
vit_base_patch16_224,random_minus,16,ILSVRC2012_val_00038607.JPEG,0.053601719439029694,0.0537409633398056
vit_base_patch16_224,random_minus,17,ILSVRC2012_val_00038678.JPEG,-0.004268673714250326,-0.002488539321348071
vit_base_patch16_224,direct_plus,16,ILSVRC2012_val_00038607.JPEG,0.06334169209003448,0.06282475590705872
vit_base_patch16_224,direct_plus,17,ILSVRC2012_val_00038678.JPEG,0.05133073031902313,0.054349012672901154
vit_base_patch16_224,direct_minus,16,ILSVRC2012_val_00038607.JPEG,0.037350401282310486,0.03812586888670921
vit_base_patch16_224,direct_minus,17,ILSVRC2012_val_00038678.JPEG,-0.05254337564110756,-0.051956906914711
vit_base_patch16_224,uniform,18,ILSVRC2012_val_00038705.JPEG,0.1007503867149353,0.10956034809350967
vit_base_patch16_224,uniform,19,ILSVRC2012_val_00038708.JPEG,0.242573544383049,0.23935529589653015
vit_base_patch16_224,cov_plus,18,ILSVRC2012_val_00038705.JPEG,0.10439997911453247,0.11299094557762146
vit_base_patch16_224,cov_plus,19,ILSVRC2012_val_00038708.JPEG,0.24821077287197113,0.2448503077030182
vit_base_patch16_224,cov_minus,18,ILSVRC2012_val_00038705.JPEG,0.09540030360221863,0.10442866384983063
vit_base_patch16_224,cov_minus,19,ILSVRC2012_val_00038708.JPEG,0.23386922478675842,0.23086145520210266
vit_base_patch16_224,shuffled_plus,18,ILSVRC2012_val_00038705.JPEG,0.10251057893037796,0.11141478270292282
vit_base_patch16_224,shuffled_plus,19,ILSVRC2012_val_00038708.JPEG,0.24582284688949585,0.24260753393173218
vit_base_patch16_224,shuffled_minus,18,ILSVRC2012_val_00038705.JPEG,0.09747523069381714,0.10621857643127441
vit_base_patch16_224,shuffled_minus,19,ILSVRC2012_val_00038708.JPEG,0.23581592738628387,0.23263618350028992
vit_base_patch16_224,permuted_plus,18,ILSVRC2012_val_00038705.JPEG,0.09915409237146378,0.10822908580303192
vit_base_patch16_224,permuted_plus,19,ILSVRC2012_val_00038708.JPEG,0.23082400858402252,0.22753405570983887
vit_base_patch16_224,permuted_minus,18,ILSVRC2012_val_00038705.JPEG,0.10105369240045547,0.10960617661476135
vit_base_patch16_224,permuted_minus,19,ILSVRC2012_val_00038708.JPEG,0.25115281343460083,0.24807965755462646
vit_base_patch16_224,random_plus,18,ILSVRC2012_val_00038705.JPEG,0.09820939600467682,0.10703492164611816
vit_base_patch16_224,random_plus,19,ILSVRC2012_val_00038708.JPEG,0.24384135007858276,0.24064595997333527
vit_base_patch16_224,random_minus,18,ILSVRC2012_val_00038705.JPEG,0.10202059149742126,0.11082550883293152
vit_base_patch16_224,random_minus,19,ILSVRC2012_val_00038708.JPEG,0.23873749375343323,0.23554153740406036
vit_base_patch16_224,direct_plus,18,ILSVRC2012_val_00038705.JPEG,0.09275099635124207,0.10233597457408905
vit_base_patch16_224,direct_plus,19,ILSVRC2012_val_00038708.JPEG,0.2904159724712372,0.2866002917289734
vit_base_patch16_224,direct_minus,18,ILSVRC2012_val_00038705.JPEG,0.10721677541732788,0.11527131497859955
vit_base_patch16_224,direct_minus,19,ILSVRC2012_val_00038708.JPEG,0.19018450379371643,0.18754729628562927
vit_base_patch16_224,uniform,20,ILSVRC2012_val_00038743.JPEG,0.0036668446846306324,0.0043021864257752895
vit_base_patch16_224,uniform,21,ILSVRC2012_val_00038986.JPEG,0.02898644655942917,0.032048098742961884
vit_base_patch16_224,cov_plus,20,ILSVRC2012_val_00038743.JPEG,0.01149233989417553,0.011859921738505363
vit_base_patch16_224,cov_plus,21,ILSVRC2012_val_00038986.JPEG,0.02839123085141182,0.03134474903345108
vit_base_patch16_224,cov_minus,20,ILSVRC2012_val_00038743.JPEG,-0.004625501111149788,-0.003729358548298478
vit_base_patch16_224,cov_minus,21,ILSVRC2012_val_00038986.JPEG,0.02921905182301998,0.03240589797496796
vit_base_patch16_224,shuffled_plus,20,ILSVRC2012_val_00038743.JPEG,0.007890108041465282,0.008361338637769222
vit_base_patch16_224,shuffled_plus,21,ILSVRC2012_val_00038986.JPEG,0.029410095885396004,0.03233527019619942
vit_base_patch16_224,shuffled_minus,20,ILSVRC2012_val_00038743.JPEG,7.064547389745712e-05,0.0008372049778699875
vit_base_patch16_224,shuffled_minus,21,ILSVRC2012_val_00038986.JPEG,0.028200579807162285,0.03142012655735016
vit_base_patch16_224,permuted_plus,20,ILSVRC2012_val_00038743.JPEG,0.0029795218724757433,0.0037619429640471935
vit_base_patch16_224,permuted_plus,21,ILSVRC2012_val_00038986.JPEG,0.029545163735747337,0.03253532946109772
vit_base_patch16_224,permuted_minus,20,ILSVRC2012_val_00038743.JPEG,0.0042453040368855,0.004739910364151001
vit_base_patch16_224,permuted_minus,21,ILSVRC2012_val_00038986.JPEG,0.028058908879756927,0.031188637018203735
vit_base_patch16_224,random_plus,20,ILSVRC2012_val_00038743.JPEG,0.004195740912109613,0.004764633718878031
vit_base_patch16_224,random_plus,21,ILSVRC2012_val_00038986.JPEG,0.030692588537931442,0.033895932137966156
vit_base_patch16_224,random_minus,20,ILSVRC2012_val_00038743.JPEG,0.0031818326096981764,0.0038695780094712973
vit_base_patch16_224,random_minus,21,ILSVRC2012_val_00038986.JPEG,0.026897167786955833,0.029810898005962372
vit_base_patch16_224,direct_plus,20,ILSVRC2012_val_00038743.JPEG,-0.001392850885167718,-0.00028285919688642025
vit_base_patch16_224,direct_plus,21,ILSVRC2012_val_00038986.JPEG,0.02153845503926277,0.025199536234140396
