model,sample_index,image_name,residual_effective_rank,top_eigenvalue_fraction,top3_eigenvalue_fraction,top_mode_semantic_fraction,top3_mode_semantic_fraction,mean_residual_l2,semantic_covariance_l2
pit_b_224,8,ILSVRC2012_val_00038157.JPEG,18.62540054321289,0.09070033580064774,0.2196948528289795,0.2038864642381668,0.23937779664993286,0.3946032226085663,0.0021981995087116957
pit_b_224,9,ILSVRC2012_val_00038221.JPEG,18.639278411865234,0.09589442610740662,0.2112751007080078,0.06701654195785522,0.181037038564682,0.48396825790405273,0.001965736038982868
pit_b_224,10,ILSVRC2012_val_00038236.JPEG,18.684659957885742,0.09024269878864288,0.210299551486969,0.03878837078809738,0.2557555139064789,0.1965693235397339,0.004904157016426325
pit_b_224,11,ILSVRC2012_val_00038251.JPEG,18.13127326965332,0.12550747394561768,0.24944788217544556,0.40390580892562866,0.6950598955154419,0.2806106507778168,0.0045463102869689465
pit_b_224,12,ILSVRC2012_val_00038413.JPEG,18.738988876342773,0.08342789113521576,0.20846283435821533,0.1806386262178421,0.26057863235473633,0.14177584648132324,0.007171680685132742
pit_b_224,13,ILSVRC2012_val_00038427.JPEG,18.36062240600586,0.11191719770431519,0.23332682251930237,0.029262768104672432,0.48189544677734375,0.5079458355903625,0.002558089094236493
pit_b_224,14,ILSVRC2012_val_00038546.JPEG,18.143413543701172,0.11031071096658707,0.26202505826950073,0.05028027668595314,0.41947463154792786,1.8069126605987549,0.004994244780391455
pit_b_224,15,ILSVRC2012_val_00038597.JPEG,18.79695701599121,0.08128222078084946,0.2017732858657837,0.10293448716402054,0.5151208639144897,0.15269629657268524,0.0037492788396775723
pit_b_224,16,ILSVRC2012_val_00038607.JPEG,18.802148818969727,0.07546494156122208,0.2028052806854248,0.7838900089263916,0.8173143863677979,0.2317829579114914,0.015141885727643967
pit_b_224,17,ILSVRC2012_val_00038678.JPEG,18.75820541381836,0.07911714911460876,0.2111307978630066,0.001620887196622789,0.08823935687541962,1.6406677961349487,0.0014151186915114522
pit_b_224,18,ILSVRC2012_val_00038705.JPEG,18.69076919555664,0.0814128890633583,0.2166210412979126,0.4562622010707855,0.6983193755149841,0.25737425684928894,0.006040578242391348
pit_b_224,19,ILSVRC2012_val_00038708.JPEG,18.18522071838379,0.10122479498386383,0.26292744278907776,0.2605512738227844,0.5244916081428528,0.16190564632415771,0.010380100458860397
pit_b_224,20,ILSVRC2012_val_00038743.JPEG,15.937257766723633,0.21820782124996185,0.34078752994537354,0.4798705577850342,0.6828659772872925,0.4299156665802002,0.00927471462637186
pit_b_224,21,ILSVRC2012_val_00038986.JPEG,18.68277931213379,0.08970320969820023,0.21055682003498077,0.08381321281194687,0.17161425948143005,0.32162290811538696,0.0027114180848002434
pit_b_224,22,ILSVRC2012_val_00039085.JPEG,16.13804817199707,0.1796189546585083,0.3577578365802765,0.9320043921470642,0.9853248596191406,0.7718484401702881,0.07811693847179413
pit_b_224,23,ILSVRC2012_val_00039106.JPEG,18.718252182006836,0.08548426628112793,0.21146059036254883,0.09916432201862335,0.28068751096725464,0.23033998906612396,0.0022927604150027037
pit_b_224,24,ILSVRC2012_val_00039130.JPEG,18.53900909423828,0.0971984788775444,0.2308916449546814,0.24665392935276031,0.5554946660995483,0.2434869259595871,0.0038955374620854855
pit_b_224,25,ILSVRC2012_val_00039253.JPEG,18.142168045043945,0.10762919485569,0.26173684000968933,0.35375696420669556,0.8371965885162354,0.2045888900756836,0.009416944347321987
pit_b_224,26,ILSVRC2012_val_00039290.JPEG,17.367902755737305,0.12663745880126953,0.3120882213115692,0.7690888047218323,0.8980588912963867,0.6762695908546448,0.013818331062793732
pit_b_224,27,ILSVRC2012_val_00039421.JPEG,18.473791122436523,0.10133370757102966,0.23656634986400604,0.5144881010055542,0.5634944438934326,0.19705525040626526,0.005874298978596926
pit_b_224,28,ILSVRC2012_val_00039426.JPEG,17.548973083496094,0.15074437856674194,0.2811485528945923,0.8901714086532593,0.9591315984725952,0.398357629776001,0.03516135737299919
pit_b_224,29,ILSVRC2012_val_00039464.JPEG,18.736928939819336,0.07913333177566528,0.20945852994918823,0.005515964236110449,0.4981597661972046,0.4764809310436249,0.005321789998561144
pit_b_224,30,ILSVRC2012_val_00039490.JPEG,18.912132263183594,0.06476803123950958,0.18761727213859558,0.007486329413950443,0.6759684681892395,0.07601618021726608,0.004889479372650385
pit_b_224,31,ILSVRC2012_val_00039737.JPEG,18.592500686645508,0.09395835548639297,0.22159092128276825,9.171805686492007e-06,0.17281320691108704,0.5736278891563416,0.003583264769986272
pit_b_224,32,ILSVRC2012_val_00039746.JPEG,18.644344329833984,0.08852243423461914,0.21750034391880035,0.11809160560369492,0.6693939566612244,0.2891016900539398,0.006210152059793472
pit_b_224,33,ILSVRC2012_val_00039748.JPEG,18.28242301940918,0.1155640259385109,0.2340349406003952,0.031200911849737167,0.3965737223625183,0.27663251757621765,0.003710770746693015
pit_b_224,34,ILSVRC2012_val_00039815.JPEG,17.63134002685547,0.14371071755886078,0.27080607414245605,0.08917014300823212,0.1314224749803543,1.3844525814056396,0.001331572886556387
pit_b_224,35,ILSVRC2012_val_00039842.JPEG,18.47465705871582,0.10582982748746872,0.2295425534248352,0.0006497263675555587,0.33064860105514526,0.1637086719274521,0.003017689334228635
pit_b_224,36,ILSVRC2012_val_00039892.JPEG,10.816668510437012,0.37090229988098145,0.48254722356796265,0.9929583072662354,0.9979308843612671,1.0071403980255127,0.08032790571451187
pit_b_224,37,ILSVRC2012_val_00039939.JPEG,15.043724060058594,0.24825459718704224,0.3650098145008087,0.6516928672790527,0.8249132037162781,0.5786628723144531,0.011793539859354496
pit_b_224,38,ILSVRC2012_val_00040016.JPEG,18.218368530273438,0.1199687272310257,0.2404647171497345,0.12590840458869934,0.44071394205093384,0.38459768891334534,0.002532443730160594
pit_b_224,39,ILSVRC2012_val_00040140.JPEG,18.242359161376953,0.11845090240240097,0.23862992227077484,0.014681505039334297,0.3479607105255127,0.24912920594215393,0.0053252726793289185
pit_b_224,40,ILSVRC2012_val_00040221.JPEG,18.565149307250977,0.09090598672628403,0.22477903962135315,0.5778063535690308,0.6660601496696472,0.2944074273109436,0.010396132245659828
pit_b_224,41,ILSVRC2012_val_00040291.JPEG,18.849245071411133,0.07445801794528961,0.19495004415512085,0.09218935668468475,0.29335200786590576,0.41107177734375,0.0045962464064359665
pit_b_224,42,ILSVRC2012_val_00040345.JPEG,18.83060646057129,0.07149595767259598,0.20195287466049194,0.04770065099000931,0.6774460673332214,0.263641357421875,0.004174206405878067
