model,condition,sample_index,image_name,preserved_view_fraction,preserved_route_distance,preserved_pair_distance,top_preserved_global_cosine,top_preserved_js,top_route_distance,top_pair_distance,all_view_global_cosine,all_view_js,all_view_route_distance,route_view_count
vit_base_patch16_224,opponent,62,ILSVRC2012_val_00034459.JPEG,1.0,0.5346887707710266,0.2670040726661682,0.9953800439834595,0.0004962102393619716,0.3706938922405243,0.2670040726661682,0.9934061169624329,0.0016817674040794373,0.5346887707710266,20
vit_base_patch16_224,opponent,63,ILSVRC2012_val_00034548.JPEG,1.0,0.3371734619140625,0.14293059706687927,0.9934784173965454,0.0006353849894367158,0.2879796028137207,0.14293059706687927,0.991676926612854,0.0008527575409971178,0.3371734619140625,20
vit_base_patch16_224,rgb_gaussian,62,ILSVRC2012_val_00034459.JPEG,1.0,0.5288214087486267,0.32685714960098267,0.9946099519729614,0.0006036382983438671,0.44244900345802307,0.32685714960098267,0.9916173219680786,0.002239238703623414,0.5288214087486267,20
vit_base_patch16_224,rgb_gaussian,63,ILSVRC2012_val_00034548.JPEG,1.0,0.3272857069969177,0.17602446675300598,0.9932215809822083,0.0006737948278896511,0.2841632664203644,0.17602446675300598,0.9918479919433594,0.0009453097591176629,0.3272857069969177,20
vit_base_patch16_224,feature_gaussian,62,ILSVRC2012_val_00034459.JPEG,1.0,0.4810255169868469,0.2574530243873596,0.9959939122200012,0.0006042913882993162,0.34238776564598083,0.2574530243873596,0.9933015704154968,0.0019255165243521333,0.4810255169868469,20
vit_base_patch16_224,feature_gaussian,63,ILSVRC2012_val_00034548.JPEG,1.0,0.3175254762172699,0.16800814867019653,0.9948364496231079,0.0008359132334589958,0.2529796063899994,0.16800814867019653,0.9939155578613281,0.001273295027203858,0.3175254762172699,20
vit_base_patch16_224,phase_only,62,ILSVRC2012_val_00034459.JPEG,1.0,0.26796430349349976,0.0,1.0,3.725290298461914e-08,0.023571431636810303,0.0,0.998324990272522,0.00039937562542036176,0.26796430349349976,20
vit_base_patch16_224,phase_only,63,ILSVRC2012_val_00034548.JPEG,1.0,0.19869382679462433,0.0,0.9999998211860657,-3.725290298461914e-08,0.027652978897094727,0.0,0.9994118809700012,8.770189015194774e-05,0.19869382679462433,20
cait_s24_224,opponent,0,ILSVRC2012_val_00031361.JPEG,0.0,0.0,0.3039591610431671,0.8950325846672058,0.010177482850849628,0.4085306227207184,0.3039591610431671,0.8740442395210266,0.013340570032596588,0.4715560972690582,0
cait_s24_224,opponent,1,ILSVRC2012_val_00031410.JPEG,0.0,0.0,0.12439998239278793,0.9571875929832458,0.003685884177684784,0.18879590928554535,0.12439998239278793,0.935895562171936,0.0069359722547233105,0.22018365561962128,0
