model,sample_index,image_name,layer,production_global_mode,activation_source,grid_h,grid_w,drop_count,gradcam_true_class,gradcam_alternate_class,gradcam_zero,alternate_gradcam_zero,patch_gradcam_spearman,patch_gradcam_top_half_iou,patch_gradcam_top_drop_iou,production_same_activation_spearman,true_alternate_gradcam_spearman,true_alternate_gradcam_top_drop_iou
vit_base_patch16_224,52,ILSVRC2012_val_00027141.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,894,895,False,False,0.5095570087432861,0.49618321657180786,0.23404255509376526,0.36898690462112427,0.27912086248397827,0.2083333283662796
vit_base_patch16_224,53,ILSVRC2012_val_00027148.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,61,62,False,False,0.4689446687698364,0.5193798542022705,0.05454545468091965,0.6734598278999329,0.6706547737121582,0.18367347121238708
vit_base_patch16_224,54,ILSVRC2012_val_00027201.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,694,695,False,False,0.3348883390426636,0.43065693974494934,0.05454545468091965,0.4740399420261383,0.4449186623096466,0.07407407462596893
vit_base_patch16_224,55,ILSVRC2012_val_00027287.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,445,446,False,False,0.7075010538101196,0.719298243522644,0.1599999964237213,0.45295125246047974,-0.4318593442440033,0.0
vit_base_patch16_224,56,ILSVRC2012_val_00027348.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,164,165,False,False,0.4262333810329437,0.5076923370361328,0.3488371968269348,0.5347305536270142,0.27016234397888184,0.13725490868091583
vit_base_patch16_224,57,ILSVRC2012_val_00027385.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,497,498,False,False,-0.06635960191488266,0.29801324009895325,0.2083333283662796,0.17651426792144775,-0.36102765798568726,0.18367347121238708
vit_base_patch16_224,58,ILSVRC2012_val_00027498.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,14,15,False,False,0.1777462661266327,0.44117647409439087,0.11538461595773697,0.47464078664779663,-0.68053138256073,0.0
vit_base_patch16_224,59,ILSVRC2012_val_00027530.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,985,986,False,False,-0.1203850507736206,0.24840764701366425,0.05454545468091965,0.10102875530719757,0.1281195878982544,0.11538461595773697
vit_base_patch16_224,60,ILSVRC2012_val_00027633.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,5,6,False,False,0.3988429307937622,0.4100719392299652,0.0,0.4967941641807556,0.8187937140464783,0.260869562625885
vit_base_patch16_224,61,ILSVRC2012_val_00027636.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,648,649,False,False,0.39887797832489014,0.4736842215061188,0.07407407462596893,0.6581676602363586,0.4941500723361969,0.260869562625885
vit_base_patch16_224,62,ILSVRC2012_val_00027657.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,104,105,False,False,0.4602554738521576,0.6198347210884094,0.017543859779834747,0.8352732062339783,0.13785749673843384,0.2083333283662796
vit_base_patch16_224,63,ILSVRC2012_val_00027790.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,66,67,False,False,0.009788921102881432,0.3243243098258972,0.05454545468091965,0.23689883947372437,-0.028187338262796402,0.07407407462596893
vit_base_patch16_224,64,ILSVRC2012_val_00027793.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,848,849,False,False,0.6928352117538452,0.6198347210884094,0.380952388048172,0.5867351293563843,-0.46857497096061707,0.0
